"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"ManufacturedProduct.manufacturedMaterial.code.originalText.integrityCheck","ManufacturedProduct.manufacturedMaterial.code.originalText.integrityCheck","","","Integrity Check",0,1,"","","","base64Binary {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/bin|2.0.3-sd]]} {[]}
","","The integrity check is a short binary value representing a cryptographically strong checksum that is calculated over the binary data. The purpose of this property, when communicated with a reference is for anyone to validate later whether the reference still resolved to the same data that the reference resolved to when the encapsulated data value with reference was created.","","","","","","","","","",,,,,"",,,,"ED.integrityCheck",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.code.originalText.integrityCheckAlgorithm","ManufacturedProduct.manufacturedMaterial.code.originalText.integrityCheckAlgorithm","","","Integrity Check Algorithm",0,1,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple|2.0.3-sd]]} {[]}
","","Specifies the algorithm used to compute the integrityCheck value. The cryptographically strong checksum algorithm Secure Hash Algorithm-1 (SHA-1) is currently the industry standard. It has superseded the MD5 algorithm only a couple of years ago, when certain flaws in the security of MD5 were discovered. Currently the SHA-1 hash algorithm is the default choice for the integrity check algorithm. Note that SHA-256 is also entering widespread usage.","","","","","","","","","",,"required","","http://terminology.hl7.org/ValueSet/v3-IntegrityCheckAlgorithm|2.0.0","",,,,"ED.integrityCheckAlgorithm",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.code.originalText.language","ManufacturedProduct.manufacturedMaterial.code.originalText.language","","","Language",0,1,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple|2.0.3-sd]]} {[]}
","","For character based information the language property specifies the human language of the text.","","","","","","","","","",,,,,"",,,,"ED.language",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.code.originalText.mediaType","ManufacturedProduct.manufacturedMaterial.code.originalText.mediaType","","","Media Type",0,1,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple|2.0.3-sd]]} {[]}
","","Identifies the type of the encapsulated data and identifies a method to interpret or render the data.","","","","","","","","","",,"example","","http://terminology.hl7.org/ValueSet/v3-MediaType|3.0.0","",,,,"ED.mediaType",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.code.originalText.representation","ManufacturedProduct.manufacturedMaterial.code.originalText.representation","","","",0,1,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple|2.0.3-sd]]} {[]}
","","","","","","","","","","","",,"required","","http://hl7.org/cda/stds/core/ValueSet/BinaryDataEncoding|2.0.3-sd","",,,,"ED.representation",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.code.originalText.xmlText","ManufacturedProduct.manufacturedMaterial.code.originalText.xmlText","","","",0,1,"","","","string {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/st-simple|2.0.3-sd]]} {[]}
","Allows for mixed text content. If @representation='B64', this SHALL be a base64binary string.","Data that is primarily intended for human interpretation or for further machine processing is outside the scope of HL7. This includes unformatted or formatted written language, multimedia data, or structured information as defined by a different standard (e.g., XML-signatures.)","This element is represented in XML as textual content. The actual name ""xmlText"" will not appear in a CDA instance.","","","","","","","","",,,,,"",,,,"ED.xmlText",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.code.originalText.reference","ManufacturedProduct.manufacturedMaterial.code.originalText.reference","","","Reference",1,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/TEL {[]} {[]}
","","A telecommunication address (TEL), such as a URL for HTTP or FTP, which will resolve to precisely the same binary data that could as well have been provided as inline data.","","","","","","","","","",,,,,"",,,,"ED.reference",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.code.originalText.thumbnail","ManufacturedProduct.manufacturedMaterial.code.originalText.thumbnail","","","Thumbnail",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/ED {[]} {[]}
","","An abbreviated rendition of the full data. A thumbnail requires significantly fewer resources than the full data, while still maintaining some distinctive similarity with the full data. A thumbnail is typically used with by-reference encapsulated data. It allows a user to select data more efficiently before actually downloading through the reference.","","","","","","","","","",,,,,"",,,,"ED.thumbnail",0,1,"","ED-1:Thumbnails cannot contain their own thumbnails {thumbnail.empty()}
"
"ManufacturedProduct.manufacturedMaterial.code.qualifier","ManufacturedProduct.manufacturedMaterial.code.qualifier","","","Qualifier",0,0,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CR {[]} {[]}
","","Specifies additional codes that increase the specificity of the the primary code.","","","","","","","","","",,,,,"",,,,"CD.qualifier",0,*,"",""
"ManufacturedProduct.manufacturedMaterial.code.translation","ManufacturedProduct.manufacturedMaterial.code.translation","","","Translation",0,*,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CD {[]} {[]}
","Autre codification - CIP : Code Identifiant de Présentation (1.2.250.1.213.2.3.2) de l'ANSM (13 chiffres) - UCD : Unités Communes de Dispensation (1.2.250.1.213.2.61) du Club Inter Pharmaceutique - ATC : Classification anatomique, thérapeutique et chimique (2.16.840.1.113883.6.73)  - MV : Médicament Virtuel (1.2.250.1.213.2.59) de Medicabase (MV+ 8 chiffres)","A set of other concept descriptors that translate this concept descriptor into other code systems.","","","","","","","","","",,,,,"",,,,"CD.translation",0,*,"",""
"ManufacturedProduct.manufacturedMaterial.name","ManufacturedProduct.manufacturedMaterial.name","","","",1,1,"Y","","","http://hl7.org/cda/stds/core/StructureDefinition/EN {[]} {[]}
","Nom de marque du produit","","","","","","","","","","",,,,,"",,,,"Material.name",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.lotNumberText","ManufacturedProduct.manufacturedMaterial.lotNumberText","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/ST {[]} {[]}
","Numéro de lot","","","","","","","","","","",,,,,"",,,,"Material.lotNumberText",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.sdtcExpirationTime","ManufacturedProduct.manufacturedMaterial.sdtcExpirationTime","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/IVL-TS {[]} {[]}
","","The date and time the manufacturer no longer ensures the safety, quality, and/or proper functioning of the material.","","There is a need in many situations that the materials used are of a specific quality or potency or functional status. The ending date for this guarantee is specified by the manufacturer. After that date, while the material may still provide the same characteristics, the manufacturer no longer takes responsibility that the product will perform as specified and denies responsibility for failure of the material after that date.","","","","","","","",,,,,"",,,,"Material.sdtcExpirationTime",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.formCode","ManufacturedProduct.manufacturedMaterial.formCode","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CE {[]} {[]}
","Forme pharmaceutique","Code représentant la forme pharmaceutique du produit de santé.","","","","","","","","","",,,,,"",,,,"FRCDAMaterialPharm.formCode",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.asSpecializedKind","ManufacturedProduct.manufacturedMaterial.asSpecializedKind","","","",0,1,"","","","BackboneElement {[]} {[]}
","Classification du produit","Relation entre le produit de santé et une classe générique ou thérapeutique.","","","","","","","","","",,,,,"",,,,"FRCDAMaterialPharm.asSpecializedKind",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedProduct.manufacturedMaterial.asSpecializedKind.id","ManufacturedProduct.manufacturedMaterial.asSpecializedKind.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"ManufacturedProduct.manufacturedMaterial.asSpecializedKind.extension","ManufacturedProduct.manufacturedMaterial.asSpecializedKind.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"ManufacturedProduct.manufacturedMaterial.asSpecializedKind.modifierExtension","ManufacturedProduct.manufacturedMaterial.asSpecializedKind.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ManufacturedProduct.manufacturedMaterial.asSpecializedKind.classCode","ManufacturedProduct.manufacturedMaterial.asSpecializedKind.classCode","","","",1,1,"","","","code {[]} {[]}
","Classe de la relation","Code indiquant qu'il s'agit d'une relation vers une classe générique ou thérapeutique.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""GRIC""/>","","","",,,,,"",,,,"FRCDAMaterialPharm.asSpecializedKind.classCode",1,1,"",""
"ManufacturedProduct.manufacturedMaterial.asSpecializedKind.generalizedMedicineClass","ManufacturedProduct.manufacturedMaterial.asSpecializedKind.generalizedMedicineClass","","","",1,1,"","","","BackboneElement {[]} {[]}
","Classe générique du médicament","Classe générique ou thérapeutique à laquelle appartient le produit de santé.","","","","","","","","","",,,,,"",,,,"FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedProduct.manufacturedMaterial.asSpecializedKind.generalizedMedicineClass.id","ManufacturedProduct.manufacturedMaterial.asSpecializedKind.generalizedMedicineClass.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"ManufacturedProduct.manufacturedMaterial.asSpecializedKind.generalizedMedicineClass.extension","ManufacturedProduct.manufacturedMaterial.asSpecializedKind.generalizedMedicineClass.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"ManufacturedProduct.manufacturedMaterial.asSpecializedKind.generalizedMedicineClass.modifierExtension","ManufacturedProduct.manufacturedMaterial.asSpecializedKind.generalizedMedicineClass.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ManufacturedProduct.manufacturedMaterial.asSpecializedKind.generalizedMedicineClass.classCode","ManufacturedProduct.manufacturedMaterial.asSpecializedKind.generalizedMedicineClass.classCode","","","",1,1,"","","","code {[]} {[]}
","Classe du matériau","Code indiquant que la classe représente un matériau pharmaceutique.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""MMAT""/>","","","",,,,,"",,,,"FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass.classCode",1,1,"",""
"ManufacturedProduct.manufacturedMaterial.asSpecializedKind.generalizedMedicineClass.code","ManufacturedProduct.manufacturedMaterial.asSpecializedKind.generalizedMedicineClass.code","","","",1,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CE {[]} {[]}
","Code de classification","Code représentant la classe générique ou thérapeutique du produit de santé selon le système de codage utilisé.","","","","","","","","","",,,,,"",,,,"FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass.code",1,1,"",""
"ManufacturedProduct.manufacturedMaterial.asSpecializedKind.generalizedMedicineClass.name","ManufacturedProduct.manufacturedMaterial.asSpecializedKind.generalizedMedicineClass.name","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/EN {[]} {[]}
","Nom de la classification","Nom de la classe générique ou thérapeutique du produit de santé.","","","","","","","","","",,,,,"",,,,"FRCDAMaterialPharm.asSpecializedKind.generalizedMedicineClass.name",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.ingredient","ManufacturedProduct.manufacturedMaterial.ingredient","","","",0,*,"","","","BackboneElement {[]} {[]}
","Ingrédient actif","Ingrédient actif entrant dans la composition du produit de santé.","","","","","","","","","",,,,,"",,,,"FRCDAMaterialPharm.ingredient",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedProduct.manufacturedMaterial.ingredient.id","ManufacturedProduct.manufacturedMaterial.ingredient.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"ManufacturedProduct.manufacturedMaterial.ingredient.extension","ManufacturedProduct.manufacturedMaterial.ingredient.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"ManufacturedProduct.manufacturedMaterial.ingredient.modifierExtension","ManufacturedProduct.manufacturedMaterial.ingredient.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ManufacturedProduct.manufacturedMaterial.ingredient.classCode","ManufacturedProduct.manufacturedMaterial.ingredient.classCode","","","",1,1,"","","","code {[]} {[]}
","Classe de l'ingrédient","Code indiquant qu'il s'agit d'un ingrédient actif.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""ACTI""/>","","","",,,,,"",,,,"FRCDAMaterialPharm.ingredient.classCode",1,1,"",""
"ManufacturedProduct.manufacturedMaterial.ingredient.quantity","ManufacturedProduct.manufacturedMaterial.ingredient.quantity","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/RTO_PQ_PQ {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/RTO-PQ-PQ|2.0.3-sd]]} {[]}
","Dosage de l'ingrédient","Ratio représentant la quantité ou la concentration de l'ingrédient actif.","","","","","","","","","",,,,,"",,,,"FRCDAMaterialPharm.ingredient.quantity",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.ingredient.ingredient","ManufacturedProduct.manufacturedMaterial.ingredient.ingredient","","","",1,1,"","","","BackboneElement {[]} {[]}
","Substance active","Substance pharmaceutique jouant le rôle d'ingrédient actif.","","","","","","","","","",,,,,"",,,,"FRCDAMaterialPharm.ingredient.ingredient",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.id","ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.extension","ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.modifierExtension","ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.classCode","ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.classCode","","","",1,1,"","","","code {[]} {[]}
","Classe de la substance","Code indiquant que la substance est un matériau pharmaceutique.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""MMAT""/>","","","",,,,,"",,,,"FRCDAMaterialPharm.ingredient.ingredient.classCode",1,1,"",""
"ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.determinerCode","ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.determinerCode","","","",1,1,"","","","code {[]} {[]}
","Déterminant de la substance","Code indiquant que l'élément représente un type de substance.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""KIND""/>","","","",,,,,"",,,,"FRCDAMaterialPharm.ingredient.ingredient.determinerCode",1,1,"",""
"ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code","ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CE {[]} {[]}
","Code de la substance","Code identifiant la substance active.","","","","","","","","","",,,,,"",,,,"FRCDAMaterialPharm.ingredient.ingredient.code",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.nullFlavor","ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.nullFlavor","","","Exceptional Value Detail",0,1,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple|2.0.3-sd]]} {[]}
","","If a value is an exceptional value (NULL-value), this specifies in what way and why proper information is missing.","","","","","","","","","",,"required","","http://hl7.org/cda/stds/core/ValueSet/CDANullFlavor|2.0.3-sd","",,,,"ANY.nullFlavor",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.code","ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.code","","","Code",0,1,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple|2.0.3-sd]]} {[]}
","","The plain code symbol defined by the code system. For example, ""784.0"" is the code symbol of the ICD-9 code ""784.0"" for headache.","","","","","","","","","",,,,,"",,,,"CD.code",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.codeSystem","ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.codeSystem","","","Code System",0,1,"","","","string {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/oid|2.0.3-sd], CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/uuid|2.0.3-sd], CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/ruid|2.0.3-sd]]} {[]}
","","Specifies the code system that defines the code.","","","","","","","","","",,,,,"",,,,"CD.codeSystem",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.codeSystemName","ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.codeSystemName","","","Code System Name",0,1,"","","","string {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/st-simple|2.0.3-sd]]} {[]}
","","The common name of the coding system.","","","","","","","","","",,,,,"",,,,"CD.codeSystemName",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.codeSystemVersion","ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.codeSystemVersion","","","Code System Version",0,1,"","","","string {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/st-simple|2.0.3-sd]]} {[]}
","","If applicable, a version descriptor defined specifically for the given code system.","","","","","","","","","",,,,,"",,,,"CD.codeSystemVersion",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.displayName","ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.displayName","","","Display Name",0,1,"","","","string {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/st-simple|2.0.3-sd]]} {[]}
","","A name or title for the code, under which the sending system shows the code value to its users.","","","","","","","","","",,,,,"",,,,"CD.displayName",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.sdtcValueSet","ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.sdtcValueSet","","","",0,1,"","","","string {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/oid|2.0.3-sd]]} {[]}
","","The valueSet extension adds an attribute for elements with a CD dataType which indicates the particular value set constraining the coded concept.","","","","","","","","","",,,,,"",,,,"CD.valueSet",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.sdtcValueSetVersion","ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.sdtcValueSetVersion","","","",0,1,"","","","string {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/st-simple|2.0.3-sd]]} {[]}
","","The valueSetVersion extension adds an attribute for elements with a CD dataType which indicates the version of the particular value set constraining the coded concept.","","","","","","","","","",,,,,"",,,,"CD.sdtcValueSetVersion",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.originalText","ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.originalText","","","Original Text",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/ED {[]} {[]}
","","The text or phrase used as the basis for the coding.","","","","","","","","","",,,,,"",,,,"CD.originalText",0,1,"",""
"ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.originalText.reference","ManufacturedProduct.manufacturedMaterial.ingredient.ingredient.code.originalText.reference","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/TEL {[]} {[]}
","Référence du texte original","Référence (ancre) vers le texte original décrivant la substance active.","","","","","","","","","",,,,,"",,,,"FRCDAMaterialPharm.ingredient.ingredient.code.originalText.reference",0,1,"",""
